0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
less,-0.234734,-0.028344,0.145274,1.119289,0.687649,-0.484333,-1.043922,-0.174946,-0.04075,-1.07188,-0.552986,2.269396,0.892013,-1.130086,-1.241372,0.808616,0.869184,0.625438,-0.083739,0.12177
schedul,-1.840441,-0.96404,-1.079746,0.270697,0.863342,0.256285,0.084287,0.563171,-1.386063,-1.121541,-0.016073,0.268654,0.059363,-0.833479,-1.195557,-0.247512,0.40161,-0.392222,0.011136,0.351696
motiv,-0.579024,-0.390838,-0.834714,1.69897,1.051255,0.280735,-0.674248,0.464229,-0.485474,-0.566733,0.710259,0.917078,0.700093,-1.052455,-0.157141,-0.427186,0.913069,0.594091,-0.618841,0.915141
answer,0.736577,0.446445,0.561062,0.040084,-1.2942,-1.05068,-1.293438,1.041268,0.452629,0.112791,0.846519,0.464734,-0.575811,-0.307258,-0.464915,-0.041654,1.821789,1.461098,0.950953,0.026348
i’m,-1.229136,-0.128848,0.252794,1.26418,0.407863,0.870288,-1.498624,0.497588,-0.40828,0.244353,-0.402367,1.691205,0.51123,-0.13123,0.718052,-0.822457,0.322277,0.89337,-0.390908,0.875878
prefer,-0.098881,-0.043695,-0.51042,-0.33441,0.26659,0.52626,-0.860567,1.206027,-2.513117,-0.805156,-0.420939,0.052951,0.065029,-0.100949,0.598098,0.148003,0.917002,0.322285,-1.068071,-0.825027
someth,-0.136201,0.664867,0.644581,1.087461,-0.851488,0.289441,-1.142937,1.375965,-0.294734,0.191525,0.135664,1.102138,-0.696864,-1.148775,0.338226,-0.666185,-0.570207,0.810558,1.093714,-0.630786
professor,0.036895,0.393048,0.358986,1.254029,-0.721396,-0.940025,-0.68669,0.824987,-1.336132,-0.769077,0.500469,-0.657792,-0.13386,-0.695185,0.478052,-1.118494,1.387817,0.880508,0.108939,0.278658
inform,0.783077,0.431083,0.242172,0.215761,0.186555,1.459331,0.168919,1.273931,-0.894853,-0.899243,0.208817,0.655277,-1.129943,-0.224359,-0.25284,-0.198049,0.366251,0.458329,0.554217,-0.16519
person,0.228235,-0.885563,0.389511,0.058781,-0.504382,-0.095603,-0.791739,0.153816,-1.69918,-0.731485,0.201109,1.200516,0.111958,-0.110326,0.073451,-1.15347,0.641063,0.783687,-0.781241,0.065709
studi,-1.295892,-0.20021,-0.656197,0.372829,0.10188,0.707956,-0.011651,0.827705,-1.551122,-0.748485,-0.238451,0.747921,-0.082712,-0.597455,-0.3554,-0.857836,-0.030988,-0.128941,-0.104916,0.267762
whenev,-2.102461,0.2339,0.270574,0.787229,-0.678262,0.289579,-0.984982,1.306259,-1.490909,-1.063325,-0.408105,0.351082,-1.442695,-1.325861,-0.61091,0.702499,-0.159922,-0.596093,0.783539,-0.361888
rather,-0.27569,-0.192298,0.030271,-0.094916,-0.485085,0.809185,-1.3258,1.799619,-1.272977,-0.462326,0.939643,0.14669,-0.315087,0.416565,0.25918,0.46994,1.267193,0.738294,-0.113999,-0.590001
similar,-0.493013,-1.141051,0.228367,-0.794729,-0.727066,-0.368145,-0.809326,-0.811887,-1.599999,-0.588236,0.73706,1.248025,0.649471,-0.625548,0.062358,-1.692251,0.398756,0.758998,-0.922342,-0.617846
