0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
face,0.398031,-0.829608,1.023606,-0.080146,-1.841352,-0.666767,0.093392,-0.732472,-1.920505,-0.671482,0.181316,0.669307,-0.600269,0.630863,0.537424,-1.760144,0.715543,0.548652,0.001652,0.234329
harder,0.790237,-0.385627,0.102427,0.523586,0.701034,-0.094518,-0.427652,0.524556,-0.098406,-0.368302,0.317295,1.028155,0.165111,-1.1436,-0.220547,-0.101603,0.107056,0.111693,-0.524861,-0.157717
clarifi,0.744185,0.612631,0.766003,0.083987,-0.954884,-0.360688,-0.40222,0.373023,0.841761,0.367599,0.681137,0.388533,-0.646582,0.202063,-0.233132,-0.598291,0.235321,0.993708,1.057407,0.080886
talk,0.187133,0.200445,0.523218,0.411768,-1.009385,-0.513496,-1.158505,1.029357,-0.836881,-0.142869,-0.717806,-0.021384,-0.26313,0.484661,0.518631,-0.982175,0.990064,1.055539,-0.294585,0.426932
whiteboardscreen,0.090508,0.047169,0.141065,-0.050814,0.02585,0.036834,0.091801,-0.166676,0.31269,0.129158,-0.076232,-0.092675,-0.096771,0.164406,-0.022745,0.10967,-0.28135,-0.123599,0.101863,0.028925
contact,-0.179022,-0.145813,0.293402,0.570047,-0.754374,-0.653484,0.142944,-0.802488,-1.171645,-0.574985,0.872535,-0.167691,0.271867,0.68786,-0.176884,-0.864946,1.244256,0.486821,-0.387654,0.660128
interact,0.014921,0.192068,0.324707,1.207708,-0.393563,-0.896499,-0.794907,-0.196054,-2.237307,-1.274679,0.934627,0.433269,0.726649,-0.789657,-0.1775,-1.962556,2.178396,1.520528,-0.152644,0.655068
disengag,0.032376,-0.035709,-0.072857,-0.072903,0.051073,-0.288067,-0.108724,-0.137015,-0.060355,-0.030918,-0.117414,0.00089,0.181436,-0.098449,-0.020828,0.093371,0.093053,-0.020142,-0.26933,-0.112771
doubl,-0.657131,0.127483,-0.012336,0.169504,0.041459,0.475355,0.396926,0.337698,0.002392,0.19404,-0.30872,-0.100388,-0.483623,-0.205038,0.17139,0.167406,-0.793449,-0.647711,0.537924,0.047686
honestli,-0.062156,-0.132313,-0.124715,-0.04622,0.068986,-0.223873,-0.128439,-0.173347,0.043333,0.163858,-0.11744,0.054639,0.19358,-0.131853,0.230828,-0.046075,-0.091466,0.027204,-0.320168,-0.200585
interact,0.014921,0.192068,0.324707,1.207708,-0.393563,-0.896499,-0.794907,-0.196054,-2.237307,-1.274679,0.934627,0.433269,0.726649,-0.789657,-0.1775,-1.962556,2.178396,1.520528,-0.152644,0.655068
respons,-0.01345,-0.295888,0.651501,-0.29522,-1.211081,-0.614221,-1.071635,0.166939,0.462232,-0.577582,0.790465,-0.427763,-0.44919,0.405349,-0.817234,0.617705,2.073445,0.785503,1.013007,0.371362
till,-0.029645,0.034256,-0.038129,-0.027745,0.007777,0.075126,0.107073,-0.111066,0.12959,0.108979,0.055482,-0.188381,-0.092061,0.073262,0.057684,0.234222,-0.121626,-0.116414,0.00013,-0.049197
hear,0.732355,-0.171989,0.168398,1.31901,-0.81075,-0.068087,-0.340621,0.87206,-1.05799,0.270479,0.272831,-0.620262,-1.266461,0.592142,1.491865,-1.384131,0.882638,1.007324,0.086231,1.137068
convers,0.286351,0.568645,0.295999,-0.203121,-0.168343,0.05007,-0.001262,0.059026,-0.528737,-0.211458,0.440216,-0.166445,0.340958,0.371505,0.213976,-0.678823,0.828818,0.612458,0.227269,-0.067224
endgam,0.014702,0.011683,0.017348,0.024804,-0.042994,-0.010698,0.016428,0.00634,0.012096,0.00476,0.032018,-0.032895,-0.035131,-0.013695,-0.027207,0.009942,0.05051,0.006347,0.002762,0.00226
oncampu,-0.053266,0.002494,-0.019983,-0.051989,0.001596,-0.024254,0.037093,-0.096957,0.034713,0.013586,0.032064,-0.01499,0.076863,0.051516,-0.012561,0.021201,0.006,0.006052,-0.05061,0.004349
face,0.398031,-0.829608,1.023606,-0.080146,-1.841352,-0.666767,0.093392,-0.732472,-1.920505,-0.671482,0.181316,0.669307,-0.600269,0.630863,0.537424,-1.760144,0.715543,0.548652,0.001652,0.234329
interact,0.014921,0.192068,0.324707,1.207708,-0.393563,-0.896499,-0.794907,-0.196054,-2.237307,-1.274679,0.934627,0.433269,0.726649,-0.789657,-0.1775,-1.962556,2.178396,1.520528,-0.152644,0.655068
